S.NO,Reg_No,Address,"No. of
Children","Status of the
Institution",Name of the Orphanage,City,Country,State,Column1,Column3,Column4,Column2,Column22,Column23,Column24,Column25,Column26
29,352/DSW/2011,"Michael Job Orphange, Near Sulur Boat Lake, Ravathur post, Irugur (via) Coimbatore -641 103. (The registration given to this institution was withdrawn vide Proceedings No.37203/CW-2/2011, dated:19/09/2011)",466,"3 years
registration
Cancelled",Michael Job Orphange,Coimbatore,India,Tamil Nadu,,,,, dated:19/09/2011),,,,
30,353/DSW/2011,"The Society of the Sisters of St. Anne Society – Saranalaya, Home for the prisoners girl Children, 4/346 N.G.G.O. Colony, Coimbatore 641 022",248,"3 years
registration",The Society of the Sisters of St. Anne Society – Saranalaya,Coimbatore,India,Tamil Nadu,,,,,,,,,
31,424/DSW/2011,"Coimbatore Seva Nilayam, 89, Syrian Church Road, No.2, Coimbatore – 1.",100,"3 years
registration",Coimbatore Seva Nilayam,Coimbatore,India,Tamil Nadu,,,,, Coimbatore – 1.,,,,
32,425/DSW/2011,"Institute of the Franciscan Missionaries of Mary Society – St. Helen’s Home, Immaculate Conception Convent, 1252, Big Bazaar Street, Coimbatore - 641001.",61,"3 years
registration",Institute of the Franciscan Missionaries of Mary Society – St. Helen’s Home,Coimbatore,India,Tamil Nadu,,,,, Coimbatore - 641001.,,,,
33,426/DSW/2011,"Universal Peace Foundation, Nallagoundanpalayam, Pathuvampalli(po), Karumathampatti (via), Coimbatore – 641659.",114,"3 years
registration",Universal Peace Foundation,Coimbatore,India,Tamil Nadu,,,,, Coimbatore – 641659.,,,,
34,427/DSW/2011,"Voice of Zion Trust, No.138, Thippampatii village & Panchayat, Pollachi Taluk, Coimbatore District – 642107",37,"3 years
registration",Voice of Zion Trust,Coimbatore,India,Tamil Nadu,,,,, Coimbatore District – 642107,,,,
46,429/DSW/2011,"Kovai Auxilium Salesian Sisters Society –Marialaya,Athipalayam Pirivu,Ganapathy,Coimbatore-641006.",104,3 yearsregistration,Kovai Auxilium Salesian Sisters Society –Marialaya,Coimbatore,India,Tamil Nadu,,,,,,,,,
47,430/DSW/2011,"Coimbatore Don Bosco Anbu Illam SocialService Society,38,GM Nagar, Post Box No.409,By pass road,Ukkadam,Coimbatore-641001.",123,3 yearsregistration,Coimbatore Don Bosco Anbu Illam SocialService Society,Coimbatore,India,Tamil Nadu,,,,,By pass road,Ukkadam,Coimbatore-641001.,,
48,612/DSW/2011,"Bethel Fellowhsip Trust –Bethel Children Home,Sowrimuthu layout Redfiled road,Puliyakulam,Coimbatore District – 641045",9,3 yearsregistration,Bethel Fellowhsip Trust –Bethel Children Home,Coimbatore,India,Tamil Nadu,,,,,,,,,
49,659/DSW/2011,"The Congregation of the Brothers of St.Michael- Aayar Ambrose Home for Children’s,17/94 T, Kovai Main Road,Sulur Taluk, Karumathampatty,Coimbatore District- 641 659",97,3 yearsregistration,The Congregation of the Brothers of St.Michael- Aayar Ambrose Home for Children’s,Coimbatore,India,Tamil Nadu,,,,, Karumathampatty,Coimbatore District- 641 659,,,
35,79/DSW/2010,"Angel New Life Home Trust, No.6/215, DDR Complex, Near Hr. Sec. School, Mandharakuppam, Neyveli, Cuddalore – 607 802.",27,"3 years
registration",Angel New Life Home Trust,Cuddalore,India,Tamil Nadu,,,,, Mandharakuppam, Neyveli, Cuddalore – 607 802.,,
36,96/DSW/2010,"Ekta Nambikkai Centre, Muzhukkthurai Road, Kalaigner Nagar, Killai – 608 102 Chidambaram (taluk), Cuddalore District",26,"3 years
registration",Ekta Nambikkai Centre,Cuddalore,India,Tamil Nadu,,,,, Cuddalore District,,,,
37,115/DSW/2010,"Matt. Girl Children Home, (Terre des Homes core Trust), 17/14 S, maria Susai Nagar, Vannarapalayam, Cuddalore District.",34,"3 years
registration",Matt. Girl Children Home,Cuddalore,India,Tamil Nadu,,,,, Vannarapalayam, Cuddalore District.,,,
38,209/DSW/2010,"The Congregation of the Sisters of St. Joseph of Cluny – Annai Velankanni Destitute Home for Children, Sathan Kuppam (via), Vandipalayam, Cuddalore 607 004",100,"3 years
registration",The Congregation of the Sisters of St. Joseph of Cluny – Annai Velankanni Destitute Home for Children,Cuddalore,India,Tamil Nadu,,,,,,,,,
39,276/DSW/2010,"Vallalar Home for Children, Valayamadevi & Post (via), Pinnalur, Chidambaram Taluk, Cuddalore District-608704",200,"3 years
registration",Vallalar Home for Children,Cuddalore,India,Tamil Nadu,,,,, Cuddalore District-608704,,,,
40,277/DSW/2010,"Sevamandir Educational Institution – Sevamandir Home for Children, Agaram Village, Parangipettai, Chidambaram Taluk, Cuddalore District – 608 502",1367,"3 years
registration",Sevamandir Educational Institution – Sevamandir Home for Children,Cuddalore,India,Tamil Nadu,,,,, Cuddalore District – 608 502,,,,
41,436/DSW/2011,"Parvatharajakula Poor Students Hostel, 40, Chetty Street, Udayargudi, Kattumannarkoil – 608301, Cuddalore District",110,"3 years
registration",Parvatharajakula Poor Students Hostel,Cuddalore,India,Tamil Nadu,,,,, Kattumannarkoil – 608301, Cuddalore District,,,
42,605/DSW/2011,"TELC Home for Children, TELC Campus, Pallipadai Road, Chidambaram – 608001, Cuddalore District",45,"3 years
registration",TELC Home for Children,Cuddalore,India,Tamil Nadu,,,,, Cuddalore District,,,,
43,606/DSW/2011,"St. Antony’s Home for Children, Aranthangi & post, Kattumannarkoil Taluk, Cuddalore District – 608 301",399,"3 years
registration",St. Antony’s Home for Children,Cuddalore,India,Tamil Nadu,,,,,,,,,
44,670/DSW/2012,"Life Help Centre for Rural Rehabilitation and Development (unit of Life Help Centre for the Handicapped), Mettupalayam, Alapakkam Post, Cuddalore District",86,3 yearsregistration,Life Help Centre for Rural Rehabilitation and Development (unit of Life Help Centre for the Handicapped),Cuddalore,India,Tamil Nadu,,,,,,,,,
45,428/DSW/2011,"Peace Society,No.12, Kurumbapalayam Road,Kalapatti,Coimbatore – 641035.",48,3 yearsregistration,Peace Society,Cuddalore,India,Tamil Nadu,,,,,Coimbatore – 641035.,,,,
50,703/DSW/2012,"R.C.Home for Children, Chidambaram Main Road, Kattumannarkoil – 608301, Cuddalore District",50,"3 years
registration",R.C.Home for Children,Cuddalore,India,Tamil Nadu,,,,,,,,,
51,136/DSW/2010,"Hebron Caring Society for Children Earupalli (po), Dharmapuri District – 636 813.",28,"3 years
registration",Hebron Caring Society for Children Earupalli (po),Dharmapuri,India,Tamil Nadu,,,,,,,,,
52,137/DSW/2010,"Good News Friend Trust Periyampatti (po), Palacode Taluk, Dharmapuri District – 635 205",66,"3 years
registration",Good News Friend Trust Periyampatti (po),Dharmapuri,India,Tamil Nadu,,,,,,,,,
53,138/DSW/2010,"Vallalar Illam -Vallalar Destitute Manavar Illam, Kurinji Nagar, Dokkubothanahalli (post), Nallampatti (via), Dharmapuri – 636 807",64,"3 years
registration",Vallalar Illam -Vallalar Destitute Manavar Illam,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri – 636 807,,,,
54,139/DSW/2010,"Integrated Society Development Project (ICDP), 4/749A, Vinayaga Nagar, Periyanahalli Village & post, Palacode Taluk, Dharmapuri District – 635 205",30,"3 years
registration",Integrated Society Development Project (ICDP),Dharmapuri,India,Tamil Nadu,,,,, Palacode Taluk, Dharmapuri District – 635 205,,,
55,140/DSW/2010,"St. Paul’s Village Gospel Mission – Peace Children Care Home, 2/553, P.W.D Colony, Thokkampatty (post), Dharmapuri District.",30,"3 years
registration",St. Paul’s Village Gospel Mission – Peace Children Care Home,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District.,,,,
56,179/DSW/2010,"Emirates – AIM for Seva Student Home for Girls, Kottur, Thirumalvadi (po), Palacode (Taluk), Dharmapuri District",39,"3 years
registration",Emirates – AIM for Seva Student Home for Girls,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District,,,,
57,180/DSW/2010,"Susanna Memorial Children’s Home, (run by Children of India Foundation), Kalthanipadi (village), Periyapatti post, Theerthamalai (via), Harur Taluk, Dharmapuri District – 636 906",31,"3 years
registration",Susanna Memorial Children’s Home,Dharmapuri,India,Tamil Nadu,,,,, Theerthamalai (via), Harur Taluk, Dharmapuri District – 636 906,,
58,181/DSW/2010,"Hosanna Ministres – Hosanna Children’s Home (boys), 3/117, Sekody padi post, Palacode Taluk, Dharmapuri District – 636 809",14,"3 years
registration",Hosanna Ministres – Hosanna Children’s Home (boys),Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District – 636 809,,,,
59,182/DSW/2010,"CMS Children’s Village Collector Office post, Dharmapuri Distirct – 636 705",192,"3 years
registration",CMS Children’s Village Collector Office post,Dharmapuri,India,Tamil Nadu,,,,,,,,,
60,281/DSW/2010,"Sneha Sadan Cluny Comprehensive Care Centre for HIV/AIDS, Selliampatty-post, Palacode Taluk, Dharmapuri District – 636809",25,"3 years
registration",Sneha Sadan Cluny Comprehensive Care Centre for HIV/AIDS,Dharmapuri,India,Tamil Nadu,,,,,,,,,
61,332/DSW/2010,"St. Thomas Home for Children, Kovilur, Nallampalli Post, Dharmapuri District 636 807.",236,"3 years
registration",St. Thomas Home for Children,Dharmapuri,India,Tamil Nadu,,,,,,,,,
73,365/DSW/2011,"The Indian Gypsy Works Fellowship Trust-Childrens Home ’H’, Jeeva Nagar, Boyar Colony, Pappireddipatti- 636 905, Dharmapuri District.",55,"3 years
registration",The Indian Gypsy Works Fellowship Trust-Childrens Home ’H’,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District.,,,,
74,366/DSW/2011,"CMS – Children’s Village, Eriyur, Sunjalnatham (post), Pennagaram Taluk, Dharmapuri District – 636810",160,"3 years
registration",CMS – Children’s Village,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District – 636810,,,,
75,389/DSW/2011,"Kovilur Nirmala Charitable Society – Nirmala Orphanage & Rehabilitation Centre, Koviloor, Nallampalli post, Dharmapuri District – 636807",90,"3 years
registration",Kovilur Nirmala Charitable Society – Nirmala Orphanage & Rehabilitation Centre,Dharmapuri,India,Tamil Nadu,,,,,,,,,
76,399/DSW/2011,"Blessing Youth Mission – Blessing Tribal Girls Home, Sitheri Hills, Pappi Reddy Patti (taluk), Dharmapuri District – 636903",50,"3 years
registration",Blessing Youth Mission – Blessing Tribal Girls Home,Dharmapuri,India,Tamil Nadu,,,,,,,,,
77,400/DSW/2011,"Mahalir Aran Trust, Devor Outhu Pallam, Balajangamana Halli (post), Nallam Palli, Dharmapuri District",47,"3 years
registration",Mahalir Aran Trust,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District,,,,
78,401/DSW/2011,"Dharmapuri Auxillium Society – Mariyalaya Home of Hope, 2/202, Pennagaram Main Road, Sogathur Post, Dharmapuri District",19,"3 years
registration",Dharmapuri Auxillium Society – Mariyalaya Home of Hope,Dharmapuri,India,Tamil Nadu,,,,, Dharmapuri District,,,,
79,431/DSW/2011,"Gandhiji Sevalayam, Kadamadai Village, Palacode – 636809, Dharmapuri District.",40,"3 years
registration",Gandhiji Sevalayam,Dharmapuri,India,Tamil Nadu,,,,,,,,,
80,432/DSW/2011,"The Indian Gypsy Works Fellowship Trust – Girls Children’s Home ‘G’, Sathiyapuram, Harur – 636903, Dharmapuri District.",54,"3 years
registration",The Indian Gypsy Works Fellowship Trust – Girls Children’s Home ‘G’,Dharmapuri,India,Tamil Nadu,,,,,,,,,
81,654/DSW/2011,"Puvidham Rural Development Trust – Surabhi Nivas, Nagarkoodal Post & Village, Indur Via, Dharmapuri District – 636803",46,"3 years
registration",Puvidham Rural Development Trust – Surabhi Nivas,Dharmapuri,India,Tamil Nadu,,,,,,,,,
62,37/DSW/2010,Dayavu Boys Home Kilakku Thottam Mettur Post (Via) Kodai Road Dindugal District,10,"3 years
registration",Dayavu Boys Home Kilakku Thottam Mettur Post (Via) Kodai Road Dindugal District,Dindigul,India,Tamil Nadu,,,,,,,,,
63,63/DSW/2010,"Kasturiba Hospital Gandhigram, Dindugal District",15,"3 years
registration",Kasturiba Hospital Gandhigram,Dindigul,India,Tamil Nadu,,,,,,,,,
64,85/DSW/2010,"R.C. Karunai Illam, Mullipadi, B.K.Pudur (po), Dindugal – 624 005.",30,"3 years
registration",R.C. Karunai Illam,Dindigul,India,Tamil Nadu,,,,,,,,,
65,86/DSW/2010,"Indo-German Home for Children (IGHC), (run by Dindugal Multipurpose Social Service Society), Nandavanam Street, N. Panjampatti, Dindugal – 624 303",82,"3 years
registration",Indo-German Home for Children (IGHC),Dindigul,India,Tamil Nadu,,,,, Dindugal – 624 303,,,,
66,199/DSW/2010,"The Sacred Heart College -Inigo Children’s Home, Poyyavillakku, Perumalmalai, Kodaikannal Dindigul District – 624 104",100,"3 years
registration",The Sacred Heart College -Inigo Children’s Home,Dindigul,India,Tamil Nadu,,,,,,,,,
67,200/DSW/2010,"Fourviere Illam No.89 Pambarpuram, Observatory post, Kodaikanal Dindigul District – 624103",33,"3 years
registration",Fourviere Illam No.89 Pambarpuram,Dindigul,India,Tamil Nadu,,,,,,,,,
68,236/DSW/2010,"AWAKE Trust, 3/2/69, 3^{rd} Ward, K.Maniyakaran patti, Kannivadi Post – 624705, Dindugal District",29,"3 years
registration",AWAKE Trust,Dindigul,India,Tamil Nadu,,,,, Kannivadi Post – 624705, Dindugal District,,,
69,237/DSW/2010,"St. Joseph’s Home for Children, Carmelpuram, Shembaganur, Kodaikanal – 624104, Dindugal District",85,"3 years
registration",St. Joseph’s Home for Children,Dindigul,India,Tamil Nadu,,,,, Dindugal District,,,,
70,284/DSW/2010,"St.Joseph’s Development Trust – Pudu Vasantham Girls New Village Life, Murugathuranpatty, Nilakottai Taluk, Dindigul District",108,"3 years
registration",St.Joseph’s Development Trust – Pudu Vasantham Girls New Village Life,Dindigul,India,Tamil Nadu,,,,,,,,,
71,285/DSW/2010,"Madonna Girls Town, DIravium Nagar, Anaippati Road, Nilakottai, Dindigul District – 624208",32,"3 years
registration",Madonna Girls Town,Dindigul,India,Tamil Nadu,,,,, Dindigul District – 624208,,,,
72,286/DSW/2010,"Children’s Home – Sacred Heart College, Shembaganur, Kodaikanal – 624 104, Dindigul District",181,"3 years
registration",Children’s Home – Sacred Heart College,Dindigul,India,Tamil Nadu,,,,,,,,,
82,287/DSW/2010,"Eden Trust – Children Refuge Ark, Shanarpatty, Dindugal District",28,"3 years
registration",Eden Trust – Children Refuge Ark,Dindigul,India,Tamil Nadu,,,,,,,,,
83,326/DSW/2010,"St.Valanar Karunai Illam, Silukkuvarpatty, Dindigul District",100,"3 years
registration",St.Valanar Karunai Illam,Dindigul,India,Tamil Nadu,,,,,,,,,
84,327/DSW/2010,"Kodai Grihini Trust, Secred Heart College, Shenbaganur, Kodaikannal- 624 104, Dindigal District.",40,"3 years
registration",Kodai Grihini Trust,Dindigul,India,Tamil Nadu,,,,, Dindigal District.,,,,
85,328/DSW/2010,"Mercy Children Home Trust, 5/1085, Valli Nagar, Chettinayakkanpatty Post, Dindigul – 624 004.",48,"3 years
registration",Mercy Children Home Trust,Dindigul,India,Tamil Nadu,,,,, Dindigul – 624 004.,,,,
86,359/DSW/2011,"Miriam Children’s Village run by Reaching the Unreached, Kanavaipatti post, Near Batlagundu, Nilakottai Taluk, Dindugal District",105,"3 years
registration",Miriam Children’s Village run by Reaching the Unreached,Dindigul,India,Tamil Nadu,,,,, Dindugal District,,,,
87,388/DSW/2011,"Holy Angels Charitable Trust – Smile Home for Children in Crisis, Batlagundu, Nilakottai Taluk, Dindugal District",26,"3 years
registration",Holy Angels Charitable Trust – Smile Home for Children in Crisis,Dindigul,India,Tamil Nadu,,,,,,,,,
88,393/DSW/2011,"St.Joseph’s home for Destitute Children, Kamalapuram, Metturgate Post, Dindigul District – 624206",25,"3 years
registration",St.Joseph’s home for Destitute Children,Dindigul,India,Tamil Nadu,,,,,,,,,
89,433/DSW/2011,"Christian Education Health and Development Society – Rev. Jacob Memorial Home, Santhipuram, Ambilikkai, Oddanchatram, Dindigul District – 624612.",335,"3 years
registration",Christian Education Health and Development Society – Rev. Jacob Memorial Home,Dindigul,India,Tamil Nadu,,,,, Dindigul District – 624612.,,,,
90,434/DSW/2011,"Christian Education Health and Development Society – Immanuel Home, Ambilikkai, Dindigul District – 624612.",91,"3 years
registration",Christian Education Health and Development Society – Immanuel Home,Dindigul,India,Tamil Nadu,,,,,,,,,
91,435/DSW/2011,"Jebes Arivalayam International Trust, Sanganampatti Road, Jumbuliampatti, Dindigul District – 5.",24,"3 years
registration",Jebes Arivalayam International Trust,Dindigul,India,Tamil Nadu,,,,,,,,,
92,440/DSW/2011,"Karunya Home for Helpless Trust, Old D.T.Marriage Hall, Phileaspuram, Batlagundu – 624202, Dindigul District.",57,"3 years
registration",Karunya Home for Helpless Trust,Dindigul,India,Tamil Nadu,,,,, Dindigul District.,,,,
93,441/DSW/2011,"Dindigul AIDS Control Society (DACS+) – Anbagam Orphanage Home, 5/481, Kanmani Nagar, Chettinaickan Patty Road, Nandhavanapatty, Dindigul – 624001.",36,"3 years
registration",Dindigul AIDS Control Society (DACS+) – Anbagam Orphanage Home,Dindigul,India,Tamil Nadu,,,,, Nandhavanapatty, Dindigul – 624001.,,,
94,442/DSW/2011,"The Congregation of the Brothers of St. Michael – Our Lady of Good Health Home for Children, Michaelpuram, Sindlagundu (s.o), Begambur (via), Dindigul – 624 002.",80,"3 years
registration",The Congregation of the Brothers of St. Michael – Our Lady of Good Health Home for Children,Dindigul,India,Tamil Nadu,,,,, Dindigul – 624 002.,,,,
95,443/DSW/2011,"St. Xavier’s Home of Love for Children, Shenbaganur (Post), Kodaikanal, Dindigul District.",400,"3 years
registration",St. Xavier’s Home of Love for Children,Dindigul,India,Tamil Nadu,,,,,,,,,
96,444/DSW/2011,"Anbarasi Social Action, Kotham Patty, No.19, Karur Road, Dindigul – 624 001.",102,"3 years
registration",Anbarasi Social Action,Dindigul,India,Tamil Nadu,,,,, Dindigul – 624 001.,,,,
97,445/DSW/2011,"Arunothayaa Foundation, 87, West Kavery Nagar, Nallampatti Road, Dindigul – 624 003.",52,"3 years
registration",Arunothayaa Foundation,Dindigul,India,Tamil Nadu,,,,, Dindigul – 624 003.,,,,
98,446/DSW/2011,"Homes of Compassion Trust, Chettiyapatti, Vinayakarpuram, Dindigul District.",12,"3 years
registration",Homes of Compassion Trust,Dindigul,India,Tamil Nadu,,,,,,,,,
99,447/DSW/2011,"Anthony Abs Children Village (A unit of Boys Town Society, Tirumangalam), J.Pudukottai Village, Chinnalapatti-T.K., Dindigul District.",75,"3 years
registration",Anthony Abs Children Village (A unit of Boys Town Society,Dindigul,India,Tamil Nadu,,,,, Dindigul District.,,,,
100,448/DSW/2011,"Athoor Boys Town (A Unit of Boys Town Society, Thirumangalam), Athoor Village, Sempatti Taluk, Dindigul District.",67,"3 years
registration",Athoor Boys Town (A Unit of Boys Town Society,Dindigul,India,Tamil Nadu,,,,, Dindigul District.,,,,
101,449/DSW/2011,"St.Joseph’s Home for Children, Perumalmalai, Kodaikanal – 624104, Dindigul District.",150,"3 years
registration",St.Joseph’s Home for Children,Dindigul,India,Tamil Nadu,,,,,,,,,
102,450/DSW/2011,"Mother Teresa Mercy Home, (Run by “Trust for Promoting Self – Reliance”), Teresa Nagar, Naalroad Michealpalayam, Nilakottai Taluk, Dindigul District - 624215",20,"3 years
registration",Mother Teresa Mercy Home,Dindigul,India,Tamil Nadu,,,,, Nilakottai Taluk, Dindigul District - 624215,,,
103,451/DSW/2011,"CMS – Children’s Home, Convent Road, Kodaikkanal – 624 101, Dindigul District.",68,"3 years
registration",CMS – Children’s Home,Dindigul,India,Tamil Nadu,,,,,,,,,
104,541/DSW/2011,"Gandhi Seva Sangam, Chatrappatti (po), Oddanchatram (Taluk), Dindigul District – 624614.",,"3 years
registration",Gandhi Seva Sangam,Dindigul,India,Tamil Nadu,,,,,,,,,
105,642/DSW/2011,"Team Vision Trust, 3-103, Lloyds Road, Kodaikanal, Dindugal District",73,"3 years
registration",Team Vision Trust,Dindigul,India,Tamil Nadu,,,,, Dindugal District,,,,
106,643/DSW/2011,"Redeeming India, Ashrays, 53-C, Korapur, Prakashapuram Post, Kodaikanal-624 104, Dindugal District",19,"3 years
registration",Redeeming India,Dindigul,India,Tamil Nadu,,,,, Prakashapuram Post, Kodaikanal-624 104, Dindugal District,,
